product_id,section,product_name,status,provider,score,matched_name,source_page,image_url,reason,checked_at
nonfood-0101,NONFood,SP Кришка до Салатник PET d 116 (50 шт/пак),no_match,,0.0,,,,generic product match is not specific enough,2026-07-19T18:28:04+00:00
nonfood-0102,NONFood,SP Салатник круглий 1000 мл КРАФТ d 150(50 шт/пак),no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T18:28:46+00:00
nonfood-0103,NONFood,SP Салатник круглий 1300 мл КРАФТ d 185(50 шт/пак),no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T18:29:28+00:00
nonfood-0104,NONFood,SP Салатник круглий 550 мл КРАФТ d 150(50 шт/пак),no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T18:30:11+00:00
nonfood-0105,NONFood,SP Салатник круглий 750 мл КРАФТ d 150(50 шт/пак),no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T18:30:51+00:00
nonfood-0106,NONFood,SP Салатник круглий 350 мл КРАФТ d 116(50 шт/пак),no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T18:31:33+00:00
nonfood-0107,NONFood,SP Салатник круглий 450 мл КРАФТ d 116(50 шт/пак),no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T18:32:14+00:00
nonfood-0108,NONFood,SP Салатник Овальний 500 мл КРАФТ(50 шт/пак),no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T18:32:55+00:00
nonfood-0109,NONFood,SP Салатник Овальний 750 мл КРАФТ(50 шт/пак),no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T18:33:36+00:00
nonfood-0110,NONFood,SP Салатник Овальний 900 мл КРАФТ(50 шт/пак),no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T18:34:18+00:00
nonfood-0111,NONFood,SP Салатник Овальний 1000 мл КРАФТ(50 шт/пак),no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T18:35:00+00:00
nonfood-0112,NONFood,SP Кришка до Салатник Овальний 500/750/1000 мл (50 шт/пак),no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T18:35:40+00:00
nonfood-0113,NONFood,SP Кришка до Салатник Овальний 900 мл (50 шт/пак),no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T18:36:22+00:00
nonfood-0114,NONFood,АП Салатник прямокутний 500 мл КРАФТ(50 шт/пак),no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T18:37:04+00:00
nonfood-0115,NONFood,АП Салатник прямокутний 750 мл КРАФТ(50 шт/пак),no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T18:37:44+00:00
